epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1704.37,0.89266,0.46862,0.89733,0.74873,0.81396,0.78932,0.54193,1.22437,0.89396,1.07652,0.000742625,0.000742625,0.000742625
43,1744.42,0.89976,0.46281,0.90154,0.76708,0.83199,0.79061,0.55914,1.22669,0.79464,1.07434,0.00073025,0.00073025,0.00073025
44,1785.22,0.91778,0.48007,0.91581,0.72527,0.82805,0.7781,0.5488,1.23926,0.89259,1.08119,0.000717875,0.000717875,0.000717875
45,1825.89,0.9117,0.49035,0.89967,0.7219,0.80002,0.7721,0.5331,1.22931,1.00538,1.07984,0.0007055,0.0007055,0.0007055
46,1865.65,0.9067,0.47718,0.89971,0.73293,0.78942,0.76418,0.51761,1.27096,0.95964,1.09335,0.000693125,0.000693125,0.000693125
47,1906.48,0.91864,0.47445,0.9074,0.75758,0.8079,0.79506,0.54539,1.23438,0.89729,1.08017,0.00068075,0.00068075,0.00068075
48,1947.35,0.92344,0.47931,0.91348,0.79228,0.8552,0.81282,0.56938,1.22942,0.77888,1.07872,0.000668375,0.000668375,0.000668375
49,1988.11,0.89667,0.46698,0.89709,0.77731,0.83493,0.80975,0.56111,1.25599,0.86943,1.08165,0.000656,0.000656,0.000656
50,2030.03,0.90856,0.46788,0.90035,0.76781,0.88343,0.81144,0.55203,1.24656,0.76202,1.08136,0.000643625,0.000643625,0.000643625
51,2070.14,0.87343,0.46807,0.89762,0.74839,0.86332,0.80469,0.55385,1.25956,0.79755,1.08643,0.00063125,0.00063125,0.00063125
52,2110.61,0.86316,0.44409,0.88883,0.76622,0.87898,0.81437,0.56606,1.23606,0.78602,1.08239,0.000618875,0.000618875,0.000618875
53,2151.09,0.89352,0.45375,0.89547,0.75893,0.87848,0.81004,0.56799,1.24665,0.78975,1.0855,0.0006065,0.0006065,0.0006065
54,2191.87,0.89387,0.45813,0.89754,0.78328,0.90123,0.81698,0.5742,1.24235,0.72324,1.08516,0.000594125,0.000594125,0.000594125
55,2233.53,0.87876,0.45195,0.8817,0.79502,0.87738,0.81181,0.57038,1.24979,0.70498,1.08123,0.00058175,0.00058175,0.00058175
56,2273.79,0.87379,0.45392,0.90368,0.79102,0.89545,0.81846,0.571,1.24509,0.70662,1.07705,0.000569375,0.000569375,0.000569375
57,2314.4,0.86529,0.45155,0.88989,0.79993,0.89851,0.81242,0.57276,1.23314,0.71228,1.08112,0.000557,0.000557,0.000557
58,2354.87,0.85342,0.44338,0.89231,0.79906,0.89344,0.80825,0.56921,1.23437,0.71395,1.08079,0.000544625,0.000544625,0.000544625
59,2395.27,0.91089,0.45397,0.92135,0.79713,0.88598,0.81438,0.57072,1.21298,0.71412,1.07651,0.00053225,0.00053225,0.00053225
60,2436.11,0.85229,0.43955,0.88675,0.79244,0.88541,0.81132,0.57663,1.23042,0.73522,1.07727,0.000519875,0.000519875,0.000519875
61,2476.79,0.86165,0.44126,0.8876,0.76553,0.85953,0.80832,0.54375,1.22793,0.82635,1.07939,0.0005075,0.0005075,0.0005075
62,2518.01,0.842,0.4428,0.88935,0.75618,0.82798,0.80733,0.54319,1.27844,0.87861,1.09106,0.000495125,0.000495125,0.000495125
63,2558.34,0.86169,0.43892,0.8906,0.75533,0.85707,0.79785,0.56968,1.21121,0.82613,1.06798,0.00048275,0.00048275,0.00048275
64,2598.51,0.86586,0.45097,0.89814,0.74634,0.85087,0.8027,0.561,1.22962,0.82605,1.07331,0.000470375,0.000470375,0.000470375
65,2638.68,0.86517,0.43409,0.90094,0.82629,0.87697,0.81292,0.56982,1.2299,0.73131,1.07607,0.000458,0.000458,0.000458
66,2679.75,0.83753,0.4282,0.88244,0.82012,0.90371,0.82189,0.56225,1.25681,0.66236,1.08636,0.000445625,0.000445625,0.000445625
67,2719.96,0.85629,0.42838,0.89158,0.8155,0.90937,0.82647,0.57788,1.27216,0.687,1.08532,0.00043325,0.00043325,0.00043325
68,2760.76,0.85054,0.43184,0.88159,0.83605,0.89224,0.82427,0.58084,1.23888,0.66773,1.0733,0.000420875,0.000420875,0.000420875
69,2801.01,0.82095,0.41445,0.8886,0.84325,0.88019,0.82235,0.578,1.25703,0.65665,1.08445,0.0004085,0.0004085,0.0004085
70,2841.77,0.83712,0.42713,0.87829,0.80885,0.89039,0.82466,0.5662,1.25268,0.71023,1.09134,0.000396125,0.000396125,0.000396125
71,2883.12,0.85181,0.42665,0.88101,0.79617,0.87639,0.81526,0.58079,1.2439,0.74197,1.08152,0.00038375,0.00038375,0.00038375
72,2924.6,0.86512,0.42464,0.88975,0.81539,0.90348,0.81923,0.57921,1.21887,0.69839,1.0704,0.000371375,0.000371375,0.000371375
73,2966.11,0.85,0.43203,0.88336,0.78683,0.90939,0.80864,0.57541,1.2076,0.70871,1.06988,0.000359,0.000359,0.000359
